RRE
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, e_ini, size_ratio, subs_NOx, min_packages, max_packages,
60,80000,100000,100000,4000,4,9000,1,20,
ALL SIMULATION RESULTS,
total_steps(sec), minutes, avg_time_per_package (sec), p_t_total_all_steps, e_t_total_all_steps, p_t_control_zone_all_steps,  e_t_control_zone_all_steps, avg_k_all_steps, veh_enter_cz_all_steps, not_veh_enter_cz_all_steps, avg_total_time_all_steps
5671,95.0,1602.7182295021626,622359851.7842094,15045002.10483125,11692400.7660052,678161.5309619299,32.43040572162331,442,584,1607.4152046783627
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
600,78623.20827179015,431437.7144249389,0.8113389906088025,206532.18406639254,78623.20827179015,64421.82838639,16276.432931762767,1,158,47,
660,81966.65103593968,513404.3654608786,1.1343060415679478,247663.8176058861,81966.65103593968,89255.23463803847,35042.160625760014,1,176,57,
720,89619.94865231546,603024.314113194,0.9731068271620213,302251.9204803688,89619.94865231546,119534.85634332048,39037.5831497402,0.5372382680980765,199,85,
780,108509.78819206053,711534.1023052545,1.1049120329831768,370984.87548503495,108509.78819206053,152434.05275757186,42843.40471109996,0,213,93,
840,107841.7449953993,819375.8473006538,0.8008424213404444,449996.2933121783,107841.7449953993,185727.37041740093,40500.89945189309,0,229,94,
900,116150.01763704602,935525.8649376999,0.9781548776219205,530932.7353548352,116150.01763704602,220312.1012535108,43388.124734707155,0,247,92,
960,129750.58312362386,1065276.4480613237,1.088616012936313,621493.1420127518,129750.58312362386,252334.6896462012,41820.13250911721,0,266,91,
1020,135700.8043861715,1200977.2524474952,0.8915048885081811,725099.7704126288,135700.8043861715,273355.32639037515,29044.18074074753,0,284,85,
1080,150429.74570823286,1351406.998155728,1.1781082782215688,833117.6181048851,150429.74570823286,279190.02590751,16437.67402112896,0,299,68,
1140,159429.91663592463,1510836.9147916527,1.1605709830445934,950766.9793512044,159429.91663592463,273155.67812998523,4410.791069876571,0,314,61,
1200,167751.15658275443,1678588.071374407,0.8122359932134214,1089277.6401782755,167751.15658275443,265956.983433068,111.42924200351652,0,329,39,
1260,186799.6146213856,1865387.6859957927,0.8101783443973843,1246910.8344013554,186799.6146213856,258665.3783334915,0.0,0,351,23,
1320,201043.61763633406,2066431.303632127,1.0165649891173987,1411358.112429463,201043.61763633406,249516.29343143493,0.0,0,364,23,
1380,216536.83695680156,2282968.1405889285,1.1756596651114042,1585571.201442254,216536.83695680156,238935.3564454323,0.0,0,377,24,
1440,226335.8949538496,2509304.035542778,0.952481695075285,1777617.7553733932,226335.8949538496,230363.0211897547,0.0,0,386,24,
1500,235206.14021127016,2744510.1757540484,0.8866397588522453,1980904.8642659825,235206.14021127016,222383.2633600845,0.0,0,366,25,
1560,240755.76607421963,2985265.941828268,0.9688466302330869,2186782.1516518113,240755.76607421963,213663.6436879867,0.0,0,368,23,
1620,239036.05207784622,3224301.9939061143,0.8116163150299472,2396600.0163885793,239036.05207784622,206359.0968527172,0.0,0,356,18,
1680,251916.6005470705,3476218.594453185,0.8886766665092141,2616524.256941318,251916.6005470705,198361.00685413426,0.0,0,370,25,
1740,249629.9907003755,3725848.58515356,0.9751550374602288,2831048.666293125,249629.9907003755,189584.6115169922,0.0,0,380,24,
1800,270796.06585482945,3996644.6510083894,0.9983248965527403,3065905.0358720557,270796.06585482945,180599.68744801756,0.0,0,394,31,
1860,287010.35927983874,4283655.010288228,0.8932337801030291,3320758.9790681857,287010.35927983874,172560.58342709029,0.0,0,408,34,
1920,291228.567464418,4574883.577752646,0.8923466166163937,3579863.0683344137,291228.567464418,164529.46387754273,0.0,0,421,30,
1980,301479.4734061152,4876363.051158762,0.8875124149350755,3849392.094802866,301479.4734061152,156541.85214312706,0.0,0,426,32,
2040,289476.8948688091,5165839.94602757,0.9838413862950934,4103450.699765052,289476.8948688091,147687.27966647124,0.0,0,434,34,
2100,282295.303705309,5448135.249732879,0.9159126458361943,4352773.148220258,282295.303705309,139444.0658539455,0.0,0,440,34,
2160,277624.1748550857,5725759.424587965,0.8085958821063636,4601287.871319515,277624.1748550857,132166.70291498824,0.0,0,447,29,
