VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5054;84.0;13.942.762.863.534.600;29.698.645.994.600.200;9.124.763.846.787.710;9.829.967.191.587.130;5.828.067.264.522.440;29.808.359.519.763.900;23;13.995.119.047.619.000;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
2700;12.298.584.450.873.700;5.941.895.054.313.320;10.885.937.630.333.000;4.483.982.992.362.220;12.298.584.450.873.700;18.715.970.275.564.000;0;0;24;0;
2760;10.843.819.361.308.100;60.503.332.479.264.000;1.084.476.707.878.110;4.553.380.024.491.690;10.843.819.361.308.100;17.739.941.238.473.700;0;0;22;0;
2820;10.699.444.583.311.100;615.732.769.375.952;1.174.576.234.719.780;4.618.089.725.874.890;10.699.444.583.311.100;16.682.822.627.225.900;0;0;22;0;
2880;10.546.823.517.340.800;62.627.959.289.329.200;0.9688427999845661;468.867.962.024.886;10.546.823.517.340.800;1.581.086.410.723.980;0;0;24;0;
2940;11.829.143.157.209.800;6.381.087.360.505.020;11.320.142.773.097.300;4.766.218.537.837.800;11.829.143.157.209.800;1.479.205.125.766.100;0;0;26;0;
3000;12.564.148.962.773.500;6.506.728.850.132.760;10.681.222.265.656.200;4.853.407.627.309.180;12.564.148.962.773.500;13.830.741.253.752.000;0;0;27;0;
3060;13.157.166.291.187.600;66.383.005.130.446.300;0.9213474043731671;4.951.810.783.663.620;13.157.166.291.187.600;13.001.528.589.816.100;0;0;29;0;
3120;12.415.319.775.305.700;6.762.453.710.797.690;10.350.322.424.574.200;5.038.702.820.688.210;12.415.319.775.305.700;12.069.999.571.604.400;0;0;26;0;
3180;11.475.499.412.842.300;6.877.208.704.926.120;11.529.916.003.327.400;5.111.950.117.204.650;11.475.499.412.842.300;11.032.307.131.305.000;0;0;24;0;
3240;11.080.485.749.776.000;6.988.013.562.423.880;11.384.789.673.713.200;5.181.769.731.877.050;11.080.485.749.776.000;10.007.676.060.670.800;0;0;23;0;
3300;10.575.336.242.093.100;7.093.766.924.844.810;100.211.352.823.184;5.251.447.007.281.630;10.575.336.242.093.100;9.105.773.885.262.170;0;0;23;0;
3360;11.532.037.787.753.300;7.209.087.302.722.340;10.356.009.031.930.200;5.329.485.752.644.220;11.532.037.787.753.300;839.260.889.136.081;21.887.581.897.235.200;0.44711305736891227;25;1;
3420;10.980.322.850.023.300;731.889.053.122.258;0.8138103320605367;5.409.991.809.190.270;10.980.322.850.023.300;853.012.937.010.617;8.699.497.775.998.430;0.8036955543195953;23;3;
3480;11.024.000.440.426.800;7.429.130.535.626.840;0.8970959894172271;5.487.936.357.975.520;11.024.000.440.426.800;9.344.465.954.731.540;16.217.229.751.008.700;0.7349353149469149;24;5;
3540;10.636.288.384.273.600;7.535.493.419.469.580;1.118.961.699.021.720;5.554.016.620.653.470;10.636.288.384.273.600;10.167.821.937.892.000;1.830.421.512.280.040;0.3277670226342292;25;5;
3600;11.421.469.329.920.000;7.649.708.112.768.780;0.9657255997203097;5.633.465.192.362.740;11.421.469.329.920.000;11.227.432.705.987.500;19.287.638.078.438.000;0;26;5;
3660;1.135.646.214.830.430;776.327.273.425.183;0.8692029606316204;5.715.738.507.263.050;1.135.646.214.830.430;12.536.862.793.950.900;20.917.127.525.318.600;0;26;5;
3720;11.242.879.196.542.400;7.875.701.526.217.250;10.195.195.045.552.600;5.791.464.597.064.480;11.242.879.196.542.400;13.452.710.733.661.200;18.334.154.938.099.900;0;25;5;
3780;1.054.868.596.383.740;7.981.188.385.855.620;10.812.163.048.262.500;5.858.027.669.729.110;1.054.868.596.383.740;14.023.180.181.917.000;15.435.641.225.994.800;0;22;5;
