noControl;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
4757;79.0;11.766.968.680.089.400;17.610.003.120.417.100;6.474.050.007.049.070;7.370.806.756.817.780;21.373.250.817.724.600;80;84;11.814.285.714.285.700;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
3360;8.783.734.000.353.920;5.294.250.851.074.440;10.356.009.031.930.200;34.146.493.009.963.100;8.783.734.000.353.920;13.282.563.335.230.200;2.985.581.249.420.130;1;23;8;
3420;8.957.449.597.861.590;53.838.253.470.530.500;0.8138103320605367;34.749.266.250.207.500;8.957.449.597.861.590;13.582.680.417.892.200;37.336.001.254.742;1;22;11;
3480;8.379.672.483.491.630;5.467.622.071.887.970;0.8970959894172271;35.264.278.942.366.500;8.379.672.483.491.630;13.929.752.253.230.500;4.278.104.743.858.290;1;21;13;
3540;7.907.235.209.610.690;5.546.694.423.984.080;1.118.961.699.021.720;3.565.217.625.167.970;7.907.235.209.610.690;14.278.111.711.433.000;44.906.601.111.454.700;1;21;12;
3600;8.270.825.735.582.120;5.629.402.681.339.900;0.9657255997203097;36.131.597.609.338.600;8.270.825.735.582.120;14.623.713.966.421.600;4.325.175.589.633.300;1;21;12;
3660;822.647.936.336.032;5.711.667.474.973.500;0.8692029606316204;366.413.324.798.473;822.647.936.336.032;1.494.365.831.938.350;398.172.619.418.816;1;21;11;
3720;780.004.686.811.651;578.966.794.365.467;10.195.195.045.552.600;3.705.431.014.501.900;780.004.686.811.651;15.163.854.022.083.800;3.119.524.581.102.730;1;20;10;
3780;7.936.039.810.560.940;586.902.834.176.028;10.812.163.048.262.500;37.458.676.256.337.700;7.936.039.810.560.940;1.541.912.989.049.470;3.525.853.358.452.620;1;20;10;
3840;7.421.646.449.433.700;5.943.244.806.254.610;1.069.794.332.200.930;3.781.571.494.168.870;7.421.646.449.433.700;15.570.529.994.805.000;2.476.815.942.084.080;1;19;7;
3900;7.610.183.010.867.380;6.019.346.636.363.290;0.9498812082006561;3.823.477.600.782.320;7.610.183.010.867.380;15.696.753.731.004.000;21.171.304.493.696.400;1;19;7;
3960;6.993.710.341.296.260;6.089.283.739.776.250;0.9755846520178253;3.858.293.656.722.640;6.993.710.341.296.260;1.583.182.793.853.820;2.228.768.262.158.720;1;18;6;
4020;7.046.607.215.002.440;6.159.749.811.926.270;10.033.705.952.999.900;389.263.838.744.187;7.046.607.215.002.440;1.600.643.578.935.860;26.491.120.439.734.900;1;17;7;
4080;5.735.826.762.099.810;6.217.108.079.547.270;11.113.770.460.000.500;39.099.870.814.068.600;5.735.826.762.099.810;16.129.166.890.304.000;2.227.550.350.854.510;1;14;6;
4140;52.158.607.366.935.300;6.269.266.686.914.210;1.008.375.367.045.250;39.258.441.755.601.700;52.158.607.366.935.300;161.995.099.929.711;16.109.688.570.110.500;1;12;5;
4200;43.591.854.752.596.700;6.312.858.541.666.800;0.9573020379856905;3.934.973.156.945.280;43.591.854.752.596.700;16.237.454.469.703.200;1.241.016.601.508.550;1;10;3;
4260;3.353.622.880.789.800;6.346.394.770.474.700;0.9958774081849033;3.932.657.799.058.520;3.353.622.880.789.800;16.255.586.132.282.800;10.776.062.931.622.100;1;7;3;
4320;26.658.716.298.968.000;6.373.053.486.773.670;0.8118299855867629;39.300.906.358.763.700;26.658.716.298.968.000;16.240.642.033.331.900;5.812.059.975.194.520;1;7;2;
4380;2.565.561.339.151.520;6.398.709.100.165.180;0.8173949161426111;3.926.320.032.286.750;2.565.561.339.151.520;16.188.859.436.547.600;217.829.456.685.166;1;6;1;
4440;22.449.531.538.393.800;64.211.586.317.035.800;10.813.528.354.415.300;39.098.408.617.492.500;22.449.531.538.393.800;160.915.376.813.579;0;1;6;0;
4500;18.709.607.975.377.600;6.439.868.239.678.960;11.932.750.869.238.600;3.885.592.566.595.360;18.709.607.975.377.600;15.984.142.923.534.700;0;1;4;0;
4560;1.149.922.540.727.430;6.451.367.465.086.230;1.037.273.492.152.020;38.597.499.462.851.700;1.149.922.540.727.430;1.589.078.830.924.100;0;1;3;0;
4620;11.313.818.651.505.900;6.462.681.283.737.740;0.9574398745511656;3.836.595.929.452.830;11.313.818.651.505.900;15.804.618.720.531.400;0;1;3;0;
4680;7.653.529.373.538.300;647.033.481.311.128;0.8681396787422726;38.129.964.303.916.500;7.653.529.373.538.300;15.726.486.149.444.600;0;1;2;0;
4740;3.715.193.937.798.730;6.474.050.007.049.070;10.008.954.233.733.900;37.806.793.890.880.000;3.715.193.937.798.730;15.636.405.561.341.000;0;1;1;0;
VEHICLES;;;;;;;;;;;
id; vType; NOx_total_veh; n_packages; step_ini; step_fin; total_time(sec);average_package;enter_cz;;;
veh26;truck;7.391.168.630.372.530;5;109;1242;1133;226.6;TRUE;;;
veh27;truck;7.477.517.250.647.000;19;112;1316;1204;6.336.842.105.263.150;TRUE;;;
veh34;truck;7.901.584.359.588.950;3;153;1326;1173;391.0;TRUE;;;
veh37;truck;7.178.438.661.090.110;9;157;1279;1122;12.466.666.666.666.600;TRUE;;;
veh41;truck;7.789.052.435.290.760;4;172;1336;1164;291.0;TRUE;;;
veh43;truck;7.753.613.503.729.080;16;182;1460;1278;79.875;TRUE;;;
veh47;truck;733.368.122.194.248;15;193;1334;1141;7.606.666.666.666.660;TRUE;;;
veh60;truck;78.806.781.958.219;16;237;1484;1247;779.375;TRUE;;;
veh73;truck;7.377.849.934.526.170;13;282;1486;1204;9.261.538.461.538.460;TRUE;;;
veh91;truck;7.754.842.392.137.040;7;334;1592;1258;17.971.428.571.428.500;TRUE;;;
veh92;truck;8.486.404.647.287.040;4;338;1594;1256;314.0;TRUE;;;
veh95;truck;7.332.331.218.609.500;16;344;1497;1153;720.625;TRUE;;;
veh96;truck;7.741.807.720.128.910;1;345;1499;1154;1154.0;TRUE;;;
veh106;truck;7.420.352.241.708.850;13;379;1478;1099;8.453.846.153.846.150;TRUE;;;
veh121;truck;7.771.260.205.258.380;14;435;1622;1187;8.478.571.428.571.420;TRUE;;;
veh126;truck;7.846.795.940.392.870;20;452;1676;1224;61.2;TRUE;;;
veh139;truck;7.952.686.191.356.140;1;517;1769;1252;1252.0;TRUE;;;
veh196;truck;7.545.850.156.301.540;15;717;1919;1202;8.013.333.333.333.330;TRUE;;;
veh206;truck;8.117.161.217.839.510;9;747;1964;1217;13.522.222.222.222.200;TRUE;;;
veh222;truck;7.717.957.414.148.070;8;817;1913;1096;137.0;TRUE;;;
veh231;truck;7.333.928.894.324.270;19;843;2000;1157;6.089.473.684.210.520;TRUE;;;
veh241;truck;7.441.805.914.322.640;4;888;2050;1162;290.5;TRUE;;;
veh267;truck;7.794.521.354.909.190;11;976;2173;1197;10.881.818.181.818.100;TRUE;;;
veh271;truck;8.033.865.061.267.130;1;980;2230;1250;1250.0;TRUE;;;
veh288;truck;7.790.744.971.963.160;1;1037;2319;1282;1282.0;TRUE;;;
veh295;truck;7.485.453.369.248.980;1;1068;2316;1248;1248.0;TRUE;;;
veh308;truck;7.979.933.230.597.730;18;1118;2346;1228;6.822.222.222.222.220;TRUE;;;
veh313;truck;8.084.181.285.943.400;1;1133;2347;1214;1214.0;TRUE;;;
veh326;truck;8.328.958.343.832.170;13;1190;2349;1159;8.915.384.615.384.610;TRUE;;;
veh327;truck;7.977.781.457.880.800;7;1193;2417;1224;17.485.714.285.714.200;TRUE;;;
veh337;truck;7.191.683.513.571.630;14;1208;2280;1072;7.657.142.857.142.850;TRUE;;;
veh351;truck;7.882.035.336.590.960;1;1247;2345;1098;1098.0;TRUE;;;
veh366;truck;7.275.980.277.284.740;17;1287;2451;1164;6.847.058.823.529.410;TRUE;;;
veh370;truck;7.131.543.981.295.260;8;1301;2375;1074;134.25;TRUE;;;
veh375;truck;7.424.718.893.740.110;15;1307;2478;1171;7.806.666.666.666.660;TRUE;;;
veh377;truck;7.775.184.099.936.640;16;1323;2489;1166;72.875;TRUE;;;
veh382;truck;7.661.280.976.830.310;18;1343;2528;1185;6.583.333.333.333.330;TRUE;;;
veh399;truck;7.165.380.580.644.520;8;1410;2482;1072;134.0;TRUE;;;
veh401;truck;7.833.873.482.697.270;12;1422;2546;1124;9.366.666.666.666.660;TRUE;;;
veh402;truck;7.557.686.912.769.900;8;1424;2655;1231;153.875;TRUE;;;
veh404;truck;7.356.004.191.143.240;8;1426;2576;1150;143.75;TRUE;;;
veh408;truck;7.797.300.031.166.020;15;1435;2637;1202;8.013.333.333.333.330;TRUE;;;
veh409;truck;7.597.030.330.144.340;10;1439;2567;1128;112.8;TRUE;;;
veh410;truck;7.794.040.943.734.170;1;1444;2607;1163;1163.0;TRUE;;;
veh412;truck;7.447.105.922.809.340;14;1452;2594;1142;8.157.142.857.142.850;TRUE;;;
veh416;truck;7.848.650.604.819.490;18;1489;2656;1167;6.483.333.333.333.330;TRUE;;;
veh418;truck;7.835.357.973.670.750;4;1502;2683;1181;295.25;TRUE;;;
veh427;truck;7.479.725.356.714.060;6;1534;2763;1229;20.483.333.333.333.300;TRUE;;;
veh430;truck;7.820.106.306.183.820;10;1541;2786;1245;124.5;TRUE;;;
veh435;truck;7.899.405.770.495.660;4;1565;2838;1273;318.25;TRUE;;;
veh445;truck;7.643.404.228.264.070;11;1610;2871;1261;11.463.636.363.636.300;TRUE;;;
veh456;truck;8.494.100.275.489.840;17;1643;2840;1197;7.041.176.470.588.230;TRUE;;;
veh458;truck;7.317.093.569.712.610;14;1653;2810;1157;8.264.285.714.285.710;TRUE;;;
veh463;truck;7.243.534.732.518.350;17;1658;2772;1114;6.552.941.176.470.580;TRUE;;;
veh491;truck;799.340.472.262.156;7;1770;2953;1183;169.0;TRUE;;;
veh492;truck;8.040.612.136.644.090;10;1775;2960;1185;118.5;TRUE;;;
veh502;truck;8.136.512.165.334.120;10;1817;3058;1241;124.1;TRUE;;;
veh555;truck;7.057.161.826.957.590;19;2027;3117;1090;5.736.842.105.263.150;TRUE;;;
veh607;truck;775.012.307.937.571;16;2240;3407;1167;729.375;TRUE;;;
veh612;truck;7.658.474.164.956.220;17;2246;3432;1186;6.976.470.588.235.290;TRUE;;;
veh620;truck;825.525.400.063.045;13;2266;3434;1168;8.984.615.384.615.380;TRUE;;;
veh644;truck;7.760.519.583.967.630;19;2368;3482;1114;5.863.157.894.736.840;TRUE;;;
veh647;truck;7.711.286.950.900.370;2;2396;3566;1170;585.0;TRUE;;;
veh676;truck;7.503.807.419.466.600;16;2512;3687;1175;734.375;TRUE;;;
veh703;truck;7.959.886.561.178.390;8;2614;3827;1213;151.625;TRUE;;;
veh726;truck;7.600.695.276.415.460;13;2682;3923;1241;9.546.153.846.153.840;TRUE;;;
veh753;truck;7.952.924.983.987.610;14;2771;4009;1238;8.842.857.142.857.140;TRUE;;;
veh778;truck;8.082.105.554.956.030;6;2841;4082;1241;20.683.333.333.333.300;TRUE;;;
veh786;truck;7.908.073.786.946.760;12;2874;4030;1156;9.633.333.333.333.330;TRUE;;;
veh787;truck;7.304.602.858.419.870;18;2877;4032;1155;6.416.666.666.666.660;TRUE;;;
veh796;truck;7.385.522.884.639.100;12;2914;4068;1154;9.616.666.666.666.660;TRUE;;;
veh802;truck;7.839.788.635.209.320;3;2936;4132;1196;3.986.666.666.666.660;TRUE;;;
veh813;truck;753.584.863.907.146;15;2962;4166;1204;8.026.666.666.666.660;TRUE;;;
veh814;truck;8.467.751.846.380.950;17;2966;4168;1202;7.070.588.235.294.110;TRUE;;;
