RREP
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
960,19392.570234735027,142550.66785503092,1.088616012936313,0,19392.570234735027,21051.427884210472,0,1,266,0,
1020,21149.98242261689,163700.6502776478,0.8915048885081811,0,21149.98242261689,17027.883887636843,0,1,284,0,
1080,22671.065978426606,186371.7162560744,1.1781082782215688,0,22671.065978426606,10424.909383642724,0,1,299,0,
1140,24180.60327540603,210552.31953148043,1.1605709830445934,0,24180.60327540603,3979.7705362413835,0,1,316,0,
1200,25624.504710632962,236176.8242421134,0.8122359932134214,0,25624.504710632962,669.6465973205904,0,1,333,0,
1260,28200.49599119085,264377.3202333042,0.8101783443973843,0,28200.49599119085,0,0,1,356,0,
1320,30414.58410853137,294791.9043418356,1.0165649891173987,0,30414.58410853137,0,0,1,376,0,
1380,30916.09045575443,325707.99479759,1.1756596651114042,0,30916.09045575443,0,0,1,392,0,
1440,32489.37680758635,358197.37160517636,0.952481695075285,0,32489.37680758635,0,0,1,407,0,
1500,33325.959350139994,391523.33095531637,0.8866397588522453,1406.9280314591633,33325.959350139994,0,0,1,413,0,
1560,34222.49059801771,425745.82155333407,0.9688466302330869,750.9399410857441,34222.49059801771,0,0,1,429,0,
1620,34456.31975672047,460202.1413100545,0.8116163150299472,5989.072356728113,34456.31975672047,0,0,1,435,0,
1680,34969.59890538458,495171.7402154391,0.8886766665092141,8966.311267780988,34969.59890538458,0,0,1,455,0,
1740,35678.35903139338,530850.0992468325,0.9751550374602288,9539.088950606128,35678.35903139338,0,0,1,461,0,
1800,36555.722852577084,567405.8220994096,0.9983248965527403,10155.115527284564,36555.722852577084,0,0,1,455,0,
1860,36143.77529268104,603549.5973920907,0.8932337801030291,14142.474736256558,36143.77529268104,0,0,1,444,0,
1920,36398.16568904463,639947.7630811353,0.8923466166163937,18416.162227111014,36398.16568904463,0,0,1,438,0,
1980,35484.932153516456,675432.6952346518,0.8875124149350755,21950.647442964757,35484.932153516456,0,0,1,428,0,
2040,33583.19210813769,709015.8873427894,0.9838413862950934,20115.549644479084,33583.19210813769,0,0,1,421,0,
2100,34500.61535787096,743516.5027006604,0.9159126458361943,21643.309752247056,34500.61535787096,0,0,1,423,0,
2160,34758.36189051709,778274.8645911774,0.8085958821063636,27292.219886935054,34758.36189051709,0,0,1,432,0,
2220,35317.65514396656,813592.519735144,1.1350311902650292,21748.752181360564,35317.65514396656,0,0,1,435,0,
2280,37183.22123273014,850775.7409678742,1.0225817290609733,22119.031167895664,37183.22123273014,0,0,1,439,0,
2340,36096.881054727324,886872.6220226015,1.0569177451729783,20166.87339639577,36096.881054727324,0,0,1,439,0,
2400,36214.55513559792,923087.1771581995,0.8743625063578871,24904.378303109752,36214.55513559792,0,0,1,448,0,
2460,37264.23257604145,960351.409734241,1.197017364870426,19075.985743815872,37264.23257604145,0,0,1,449,0,
2520,36911.36214388567,997262.7718781267,1.1439786115181159,14804.11787304937,36911.36214388567,0,0,1,445,0,
2580,36406.36563296475,1033669.1375110914,0.8483559839223226,20669.668084810506,36406.36563296475,0,0,1,439,0,
2640,34551.279050763165,1068220.4165618545,0.9330780741440516,21630.13646638782,34551.279050763165,0,0,1,426,0,
2700,35435.27538837798,1103655.6919502325,1.0885937630333073,17876.03638556674,35435.27538837798,0,0,1,445,0,
2760,36601.40761042182,1140257.0995606543,1.084476707878112,15436.282512376529,36601.40761042182,0,0,1,444,0,
2820,37135.733985638806,1177392.833546293,1.174576234719784,10287.272048103114,37135.733985638806,0,0,1,455,0,
2880,38961.70857912319,1216354.5421254162,0.9688427999845661,14370.639827781917,38961.70857912319,0,0,1,471,0,
2940,40412.72772128956,1256767.2698467057,1.1320142773097308,14030.853565921163,40412.72772128956,0,0,1,481,0,
3000,39736.70040703949,1296503.970253745,1.0681222265656283,15315.153816598038,39736.70040703949,0,0,1,469,0,
3060,38716.925918872716,1335220.8961726178,0.9213474043731671,20863.573178036735,38716.925918872716,0,0,1,464,0,
3120,37056.72423484513,1372277.6204074628,1.0350322424574239,20659.13668441461,37056.72423484513,0,0,1,446,0,
3180,36380.506906370574,1408658.1273138335,1.1529916003327432,15531.945978806427,36380.506906370574,0,0,1,440,0,
3240,37323.80296633322,1445981.9302801667,1.1384789673713251,11870.50611977194,37323.80296633322,0,0,1,466,0,
