BASELINE, 
PARAMETERS,
window_size, threshold_L, threshold_H, alpha_ini, p_t_ini, min_packages, max_packages,
60,200,250,0.5,75,5,10,
WINDOWS,
step, NOx_total_w, NOx_total_acum, alpha, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
1980,226305.1394820439,4662197.455031386,0.7922096832504311,1.1150023602490566,786112.9182030996,226305.1394820439,1336.7012520012663,31.837139195501305,0,423,3,
2040,227384.55925243822,4889582.014283824,0.6649355578880743,0.8393428809906087,750098.9910808385,227384.55925243822,909.7652452264791,20.945052497329712,0,410,2,
2100,213571.74887144458,5103153.7631552685,0.6983635595989679,1.0502725434282165,737413.5503342535,213571.74887144458,657.4762312253749,22.129336169582952,0,415,2,
2160,217168.2133635059,5320321.976518774,0.6497098890148053,0.9303318881470537,696273.0893091873,217168.2133635059,427.16880921931084,0.0,0,424,1,
2220,218091.04175313166,5538413.018271906,0.7563711429190249,1.1641675087721945,744731.9140976819,218091.04175313166,323.09816044856905,0,0,424,0,
2280,227249.07522806549,5765662.093499972,0.7539397360754736,0.9967854315089708,788732.057989854,227249.07522806549,243.59654181506517,0,0,417,0,
2340,228187.72245255345,5993849.815952525,0.6697147073511605,0.8882867891235783,756413.181847707,228187.72245255345,163.1401867134311,0,0.1280691636986967,418,0,
2400,222148.59059872068,6215998.406551246,0.7598832558649786,1.134637253033386,796934.3020003445,222148.59059872068,329.2995710789305,205.33207483670796,0,423,2,
2460,225570.6109888864,6441569.017540132,0.8399663660035799,1.1053887021729967,894968.6205837152,225570.6109888864,434.70553530427156,158.10497125856477,0,430,2,
2520,223151.26953041137,6664720.2870705435,0.8390538739024532,0.9989136563819,974078.1576523124,223151.26953041137,575.8610696950257,211.11970629113694,0,430,2,
2580,220997.14635848344,6885717.433429027,0.8083007105164637,0.9633478083559092,1008345.2132874156,220997.14635848344,625.8568572795582,160.38794548629815,0,408,2,
2640,206456.37870499922,7092173.812134027,0.6829945495234747,0.8449758123892721,895150.6634183896,206456.37870499922,612.7038818288784,185.24705952504885,0,417,2,
2700,210613.92031946217,7302787.732453489,0.6897307669256127,1.0098627689003343,828026.873912999,210613.92031946217,595.7907647758916,173.19004646375927,0,429,2,
2760,210764.17017479034,7513551.902628279,0.7766394132593628,1.1260037256582511,853842.4756935663,210764.17017479034,560.4803456248616,97.76575564396607,0,427,2,
2820,221579.25490660997,7735131.157534889,0.6895608503433668,0.887877744253863,810355.598505151,221579.25490660997,386.48530372982367,0,0,437,0,
2880,211221.0156597913,7946352.17319468,0.575450356356918,0.8345171511265068,677540.433595404,211221.0156597913,222.40310575803872,0,0,446,0,
2940,237676.70848901963,8184028.8816837,0.5381935919048224,0.9352563361191362,602324.6281064809,237676.70848901963,119.69592633870695,0,0.5519378848392256,434,0,
3000,203809.48908013778,8387838.370763837,0.6193644738745634,1.1508209744424005,576867.9654690004,203809.48908013778,851.5887752011622,777.4533707594605,0,442,12,
3060,184303.22703296735,8572141.597796805,0.518044943539597,0.8364137198552235,483146.7596341579,184303.22703296735,1450.0005881576142,1008.8393291895736,0,444,12,
3120,167221.7080399022,8739363.305836707,0.5586640716506432,1.0784085022305436,437138.4439819355,167221.7080399022,2329.9335622488893,1519.870329772929,0,430,16,
3180,161257.90245740887,8900621.208294116,0.6268200729076451,1.1219981822987584,435265.0537849002,161257.90245740887,2814.1418885029484,1353.6927631441304,0,439,16,
3240,164114.0896856424,9064735.297979759,0.7309501458293197,1.166124343208481,482271.14422412193,164114.0896856424,3629.949065122781,1572.951641337154,0,462,19,
3300,161530.63051411687,9226265.928493876,0.6276153675683501,0.8586295127642005,464211.41196394793,161530.63051411687,3452.562833514132,1174.3510167527088,0,482,20,
3360,155925.24279118312,9382191.17128506,0.6697310788169231,1.0671043339995756,466822.0525249251,155925.24279118312,5272.820524073008,2960.5318929003756,0,464,19,
3420,150678.10462383437,9532869.275908893,0.6441115186508541,0.9617464965022592,451363.5658153727,150678.10462383437,9338.324439648966,5942.040004314908,0,469,17,
3480,150225.19809885207,9683094.474007744,0.6549122261562546,1.0167683812393595,445828.7157928229,150225.19809885207,15839.913518582802,9724.13067124294,0,483,12,
3540,156262.3311800699,9839356.805187814,0.7204152982802797,1.100018093277124,477444.1584498704,156262.3311800699,20493.260169204746,9081.944146981084,0,479,9,
3600,154420.93308198382,9993777.738269798,0.7956384823583799,1.104416416832995,534293.8787219126,154420.93308198382,27712.392129243774,11407.165709642273,0,487,7,
3660,161323.1563441747,10155100.894613974,0.7851929812811381,0.9868715486884447,580846.9598580962,161323.1563441747,31522.726424929286,9763.15063053642,0,478,6,
3720,153372.33225559184,10308473.226869566,0.6479759862795195,0.825244241514064,529747.2139471022,153372.33225559184,30705.664347295475,10279.69460188245,0,463,4,
3780,158395.11415843683,10466868.341028003,0.7282440800031119,1.1238751055952974,544180.386613556,158395.11415843683,30349.196866549624,7987.978583069077,0,441,3,
