VE
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
900,130207.86123694932,1019001.540871792,0.9781548776219205,614408.4112889272,130207.86123694932,26848.972000637288,0,1,247,0,
960,133375.1971360818,1152376.7380078738,1.088616012936313,708593.4319593018,133375.1971360818,21051.427884210472,0,1,266,0,
1020,142167.47657956652,1294544.2145874402,0.8915048885081811,818666.7325525738,142167.47657956652,17027.883887636843,0,1,284,0,
1080,154036.8195738467,1448581.034161287,1.1781082782215688,930291.654110444,154036.8195738467,10424.909383642724,0,1,299,0,
1140,160309.5112698114,1608890.5454310982,1.1605709830445934,1048820.6099906499,160309.5112698114,3979.7705362413835,0,1,316,0,
1200,168338.28372570177,1777228.8291568,0.8122359932134214,1187918.3979606684,168338.28372570177,669.6465973205904,0,1,333,0,
1260,192426.89512755128,1969655.7242843513,0.8101783443973843,1351178.8726899137,192426.89512755128,0,0,1,356,0,
1320,201959.40623451807,2171615.1305188695,1.0165649891173987,1516541.9393162054,201959.40623451807,0,0,1,376,0,
1380,213870.64665382556,2385485.777172695,1.1756596651114042,1688088.8380260204,213870.64665382556,0,0,1,392,0,
1440,236668.23499651463,2622154.0121692093,0.952481695075285,1890467.7319998248,236668.23499651463,0,0,1,407,0,
1500,261598.23799739475,2883752.2501666043,0.8866397588522453,2120146.938678539,261598.23799739475,0,0,1,413,0,
1560,270497.6882192404,3154249.9383858447,0.9688466302330869,2355766.1482093884,270497.6882192404,0,0,1,429,0,
1620,293868.59223486733,3448118.530620712,0.8116163150299472,2620416.5531031773,293868.59223486733,0,0,1,435,0,
1680,303538.72905805445,3751657.259678766,0.8886766665092141,2891962.9221669,303538.72905805445,0,0,1,455,0,
1740,309423.11330643663,4061080.372985203,0.9751550374602288,3166280.4541247683,309423.11330643663,0,0,1,458,0,
1800,316016.42888548574,4377096.801870689,0.9983248965527403,3446357.1867343555,316016.42888548574,0,0,1,452,0,
1860,307198.72576868866,4684295.527639378,0.8932337801030291,3721399.4964193352,307198.72576868866,0,0,1,444,0,
1920,309284.9241713306,4993580.451810708,0.8923466166163937,3998559.9423924754,309284.9241713306,0,0,1,436,0,
1980,282108.71909657656,5275689.170907285,0.8875124149350755,4248718.214551389,282108.71909657656,0,0,1,425,0,
2040,274426.68176267337,5550115.852669958,0.9838413862950934,4487726.606407438,274426.68176267337,0,0,1,410,0,
2100,264063.2296421211,5814179.082312079,0.9159126458361943,4718816.980799456,264063.2296421211,0,0,1,421,0,
2160,269697.18966639065,6083876.27197847,0.8085958821063636,4959404.718710017,269697.18966639065,0,0,1,432,0,
2220,268998.7708023386,6352875.042780808,1.1350311902650292,5187542.366662815,268998.7708023386,0,0,1,435,0,
2280,266658.3630410287,6619533.405821837,1.0225817290609733,5417387.787457649,266658.3630410287,0,0,1,439,0,
2340,269426.4224945753,6888959.828316412,1.0569177451729783,5648765.171125997,269426.4224945753,0,0,1,440,0,
2400,273137.41928231437,7162097.247598726,0.8743625063578871,5890425.540179428,273137.41928231437,0,0,1,448,0,
2460,285974.9227758881,7448072.170374614,1.197017364870426,6133307.83781998,285974.9227758881,0,0,1,449,0,
2520,281373.7951418718,7729445.965516486,1.1439786115181159,6373498.4029472,281373.7951418718,0,0,1,444,0,
2580,270152.47686557495,7999598.442382061,0.8483559839223226,6613110.064391572,270152.47686557495,0,0,1,421,0,
2640,253324.67827141145,8252923.120653473,0.9330780741440516,6832843.931993797,253324.67827141145,0,0,1,422,0,
2700,263564.53658304026,8516487.657236513,1.0885937630333073,7057219.093107638,263564.53658304026,0,0,1,441,0,
2760,262969.7516672285,8779457.40890374,1.084476707878112,7281147.683291255,262969.7516672285,0,0,1,443,0,
2820,281204.9641572095,9060662.37306095,1.174576234719784,7520067.902998552,281204.9641572095,0,0,1,455,0,
2880,284234.11481598084,9344896.48787693,0.9688427999845661,7769423.6770150885,284234.11481598084,0,0,1,474,0,
2940,297639.2014346425,9642535.689311571,1.1320142773097308,8026310.364466581,297639.2014346425,0,0,1,481,0,
3000,282524.11189230456,9925059.801203877,1.0681222265656283,8270382.076202522,282524.11189230456,0,0,1,462,0,
3060,225936.98726288418,10150996.78846676,0.9213474043731671,8463150.556907972,225936.98726288418,0,0,1,450,0,
3120,188304.42077625496,10339301.209243016,1.0350322424574239,8614193.81695576,188304.42077625496,0,0,1,434,0,
