noControl
PARAMETERS,
window_size, threshold_L, threshold_H, p_t_ini, min_packages, max_packages,
60,80000,100000,100000,1,20,
WINDOWS,
step, NOx_total_w, NOx_total_acum, lambda, p_t_total, e_t_total, p_t_control_zone, e_t_control_zone, k_control_zone, num_veh_total, num_vehicles_control_zone,  
1980,200882.9355712773,4129342.3381897323,0.8875124149350755,3102371.3818338364,200882.9355712773,1277690.7892126339,113039.40843151117,1,355,147,
2040,199761.92260295094,4329104.260792683,0.9838413862950934,3266715.014530164,199761.92260295094,1391761.3901342577,122925.17339827988,1,358,147,
2100,210356.34826951884,4539460.609062201,0.9159126458361943,3444098.50754958,210356.34826951884,1507295.0932626256,123776.91694089366,1,374,151,
2160,210053.64655359506,4749514.255615796,0.8085958821063636,3625042.702347346,210053.64655359506,1606949.3850155356,106931.65469186718,1,371,146,
2220,199925.7538380095,4949440.009453805,1.1350311902650292,3784107.3333358145,199925.7538380095,1691180.3867053257,94446.28240217519,1,357,136,
2280,203873.12393865676,5153313.133392462,1.0225817290609733,3951167.5150282765,203873.12393865676,1758226.195448281,76249.04430450409,1,344,126,
2340,196851.8805193762,5350165.013911838,1.0569177451729783,4109970.3567214254,196851.8805193762,1810613.4020876011,61899.46634587693,1,351,123,
2400,201543.2023984077,5551708.216310245,0.8743625063578871,4280036.508890949,201543.2023984077,1852050.543957627,49306.404427246605,1,355,121,
2460,205105.67586559677,5756813.892175842,1.197017364870426,4442049.559621211,205105.67586559677,1881265.3713352645,39987.98366147151,1,360,122,
2520,205445.73803360137,5962259.630209443,1.1439786115181159,4606312.06764016,205445.73803360137,1901552.4645831343,30582.900751532852,1,366,128,
2580,207729.7983339182,6169989.428543361,0.8483559839223226,4783501.050552875,207729.7983339182,1926461.971084795,32544.710356961525,1,359,141,
2640,184792.85557861507,6354782.284121976,0.9330780741440516,4934703.095462305,184792.85557861507,1945569.7752812633,27505.506863764767,1,355,132,
2700,144304.74998208403,6499087.03410406,1.0885937630333073,5039818.469975189,144304.74998208403,1971156.4959413686,35384.06452740513,1,335,128,
